,要件,最終判断
7451,なお、障害には労働基準行政システムの情報セキュリティインシデントを含める。,その他
7452,本件受託者は、問合せに対し以下内容を実施すること。,その他
7453,問合せに対応する業者の切り分け及び対応の指示,その他
7454,問合せ内容の程度に応じた緊急度の決定及び労災保険業務課等への一次報告を実施する,その他
7455,一次報告を実施した場合、問合せ対応が完了した旨の最終報告を行う。,その他
7456,報告には問合せの内容及び対応経緯を含む。,その他
7457,労災保険業務課等から依頼された場合に調査報告書を作成し、内容を口頭でも説明する。,その他
7458,なお、最終的な回答を依頼日から0開庁日で行えない場合も一次回答は依頼日から0開庁日以内で行う。,その他
7459,本件受託者は、障害対応のための会議を主催し、障害内容、関係業者の解析状況、業務への影響等を把握し、障害解決に向けた作業を推進すること。,その他
7460,本件受託者は、障害に対し以下内容を実施すること。,その他
7461,労災保険業務課等への障害の一次報告。重大な障害については、労災保険業務課等に迅速に報告すること。,その他
7462,労災保険業務課等への障害対応が完了した旨の最終報告。,その他
7463,報告には障害の内容、分析結果及び対応経緯を含む。報告時点での対応が暫定対応の場合、エスカレーションインシデント管理簿にて継続対応する。,その他
7464,労災保険業務課等から依頼された場合に調査報告書を作成し、内容を口頭でも説明する。,その他
